,,,,,,NEW,UNITED,,SOUTH,,,
YEAR,USA*,CANADA,JAPAN,AUSTRALIA,ITALY,ZEALAND,KINGDOM,GERMANY,KOREA,SPAIN,OTHERS,
1988,"41,378 ","6,602 ",62 ,"9,319 ", 32 , 11 , 256 , 83 , 1 , 56 , 220 , 
1989,"39,524 ","8,040 ","1,271 ","5,943 ", 109 , 55 , 248 , 135 , 4 , 120 , 296 ,
1990,"43,781 ","8,400 ","3,569 ","5,847 ", 160 , 50 , 291 , 334 , 4 , 94 , 619 ,
1991,"43,824 ","7,211 ","3,946 ","5,715 ", 130 , 91 , 286 , 522 , 14 , 57 , 668 ,
1992,"46,691 ","7,454 ","4,048 ","4,104 ", 105 , 128 , 205 , 593 , 14 , 77 , 735 ,
1993,"44,903 ","11,627 ","4,527 ","3,083 ", 123 , 237 , 159 , 780 , 25 , 108 , 818 ,
1994,"40,515 ","14,302 ","4,225 ","3,224 ", 99 , 287 , 174 , 784 , 18 , 86 , 817 ,
1995,"34,614 ","11,288 ","4,883 ","2,966 ", 71 , 579 , 151 , 661 , 31 , 68 , 930 ,
1996,"41,312 ","10,050 ","4,510 ","2,002 ", 72 ," 1,005 ", 150 , 542 , 237 , 40 , 993 ,
1997,"37,002 ","8,215 ","4,171 ","2,124 ", 50 , 405 , 195 , 566 , 277 , 25 ," 1,029 ",
1998,"24,886 ","5,651 ","3,810 ","2,189 ", 96 , 253 , 193 , 560 , 256 , 39 ," 1,076 ",
1999,"24,123 ","6,712 ","4,219 ","2,597 ", 125 , 186 , 225 , 550 , 422 , 345 ," 1,003 ",
2000,"31,324 ","8,245 ","6,468 ","2,298 ", 371 , 261 , 174 , 552 , 110 , 336 , 892 ,
2001,"31,287 ","9,737 ","6,021 ","1,965 ", 823 , 284 , 176 , 507 , 62 , 411 , 781 ,
2002,"36,557 ","8,795 ","5,734 ","2,603 ", 982 , 624 , 271 , 518 , 55 , 451 ," 1,130 ",
2003,"33,916 ","9,521 ","5,929 ","2,223 ", 662 , 382 , 225 , 445 , 77 , 586 ," 1,171 ",
2004,"42,350 ","10,108 ","5,993 ","2,647 ", 859 , 131 , 309 , 393 , 289 , 579 ," 1,266 ",
2005,"40,280 ","13,598 ","7,062 ","3,027 "," 1,250 ", 394 , 478 , 367 , 480 , 685 ," 1,407 ",
2006,"49,522 ","13,230 ","9,742 ","3,735 ", 954 ," 1,973 ", 556 , 457 , 281 , 898 ," 1,619 ",
2007," 46,420 "," 14,572 "," 8,806 "," 3,467 "," 1,490 "," 1,639 ", 654 , 424 , 576 , 933 ," 1,618 ",
2008," 34,201 "," 16,443 "," 7,682 "," 3,657 "," 2,405 "," 1,252 ", 552 , 489 ," 1,482 ", 907 ," 1,730 ",
2009," 40,598 "," 19,967 "," 5,278 "," 3,850 "," 2,734 "," 1,725 ", 646 , 518 ," 1,458 ", 970 ," 1,974 ",
2010," 42,007 "," 27,302 "," 3,766 "," 3,062 "," 3,319 "," 1,114 ", 817 , 510 ," 1,565 ", 693 ," 1,920 ",
2011," 38,463 "," 26,203 "," 3,965 "," 3,957 "," 3,632 "," 1,185 ", 749 , 590 ," 1,618 ", 871 ," 2,177 ",
2012," 39,124 "," 24,354 "," 4,759 "," 4,259 "," 3,818 "," 1,170 ", 881 , 553 ," 1,632 ", 808 ," 2,282 ",
2013,"38,637","19,041","4,554","4,748","4,526",888,829,609,"1,419",868,"2,109",
2014,"39,594","22,479","4,341","4,467","3,275",974,783,578,982,834,"2,382",
2015,"40,814","33,700","4,387","4,860","2,452","1,197",936,651,700,"1,005","2,296",
2016,"41,298","29,039","4,313","4,819","2,451","1,512","1,129",613,694,966,"2,520",
2017,"34,956","27,376","4,129","3,993","2,241","1,236","1,015",616,616,920,"2,681",
2018,"35,839","23,014","3,962","2,937","1,459",617,"1,025",687,687,694,"2,798",
2019,"32,698","18,190","3,862","2,468",774,"1,178","1,345",730,653,546,"2,720",
2020,"6,539","4,579","1,100",777,232,477,442,304,219,162,872,